concept,color,rating
peach,#333333,0
safety,#228B22,100
tree,#800000,12
banana,#9966CC,1
sad,#228B22,32
banana,#000000,0
safety,#DC143C,100
safety,#CCCC66,81
sad,#999999,60
lightning,#0000CD,36
justice,#ADFF2F,91
safety,#FFD700,70
mango,#99CC66,37
angry,#800000,89
banana,#400080,5
angry,#DFFF99,18
mango,#008080,12
death,#999999,89
justice,#00CED1,74
peach,#FFFFFF,16
peach,#6699CC,23
sandstorm,#C299FF,21
death,#DFFF99,19
sick,#0000CD,72
sandstorm,#99FF99,17
lightning,#99CC66,51
tree,#C299FF,16
angry,#004D00,13
peach,#608000,22
tree,#99C2FF,16
happy,#CCCC66,25
sick,#99CC66,86
sandstorm,#804000,78
justice,#000000,24
peace,#333333,15
peach,#DFFF99,73
sad,#DFFF99,20
sandstorm,#FF4500,83
death,#99CC66,28
peach,#999999,11
tree,#FFFF99,27
sandstorm,#CC6666,73
banana,#FFC299,82
peace,#99FFFF,69
lightning,#9966CC,26
sick,#000000,18
banana,#99C2FF,22
banana,#804000,22
peach,#FF9999,100
happy,#DC143C,85
safety,#DFFF99,34
mango,#FFFF99,71
peace,#66CC66,79
mango,#99FFFF,0
tree,#66CC66,86
sad,#99FFFF,69
sick,#ADFF2F,100
banana,#99FF99,0
tree,#DC143C,0
death,#FF9999,71
lightning,#99FFFF,40
sick,#99FF99,76
safety,#C299FF,0
banana,#99FFFF,0
mango,#ADFF2F,0
angry,#CCCC66,16
justice,#004080,69
peach,#FFD700,66
death,#804000,55
mango,#400080,3
peach,#CC6666,5
justice,#66CCCC,74
sick,#228B22,86
banana,#0000CD,0
peace,#400080,12
sandstorm,#99C2FF,0
death,#6699CC,0
lightning,#FFFF99,63
sad,#CCCC66,0
tree,#FFFFFF,0
mango,#FFFFFF,0
banana,#808000,0
tree,#FFFF99,0
peach,#228B22,0
mango,#00CED1,0
lightning,#99C2FF,60
safety,#FFC299,0
peace,#228B22,68
peace,#99FFFF,0
lightning,#00CED1,58
happy,#004D00,0
peace,#ADFF2F,0
peach,#FF4500,38
banana,#9966CC,0
banana,#FFD700,100
sick,#66CC66,100
safety,#008080,70
angry,#99C2FF,20
sick,#ADFF2F,93
justice,#99FF99,0
sick,#CCCC66,95
safety,#FF4500,78
peach,#228B22,0
tree,#FF9999,8
lightning,#999999,10
angry,#999999,7
sandstorm,#004080,22
angry,#CC9966,5
peace,#004D00,64
death,#666666,75
lightning,#DFFF99,66
angry,#66CC66,0
sandstorm,#99FF99,0
peach,#DC143C,50
mango,#400080,0
mango,#66CCCC,0
lightning,#9966CC,11
mango,#FFFFFF,0
banana,#FF4500,0
sick,#66CCCC,9
safety,#FFFFFF,43
banana,#C299FF,0
angry,#99CC66,0
sick,#DFFF99,70
sandstorm,#99CC66,0
lightning,#99C2FF,19
death,#99CC66,0
sick,#9966CC,22
peace,#804000,17
peach,#C299FF,0
angry,#0000CD,0
death,#800000,16
peace,#FF4500,39
angry,#CC6666,55
banana,#FFC299,73
justice,#004080,91
death,#99FFFF,0
sick,#004080,16
angry,#228B22,0
sad,#FFD700,0
tree,#99FF99,58
lightning,#400080,0
death,#333333,100
death,#FFFF99,0
sad,#800080,56
safety,#800000,12
sick,#808000,84
peach,#008080,0
justice,#C299FF,21
lightning,#0000CD,0
mango,#00CED1,0
safety,#66CCCC,64
angry,#99FF99,9
peach,#66CCCC,0
tree,#333333,0
peace,#CC6666,53
angry,#FFFFFF,0
peace,#999999,8
sad,#FFC299,0
happy,#400080,0
sick,#DFFF99,82
mango,#333333,0
angry,#99FFFF,0
peach,#66CC66,0
death,#00CED1,0
lightning,#333333,0
mango,#0000CD,0
sad,#99CC66,15
banana,#808000,40
mango,#228B22,0
justice,#FF4500,38
banana,#999999,0
tree,#99C2FF,0
peace,#400080,10
sick,#808000,100
death,#99CC66,0
happy,#ADFF2F,72
sick,#9966CC,21
angry,#999999,0
sandstorm,#228B22,0
mango,#66CC66,0
happy,#66CC66,0
peach,#808000,0
mango,#FFC299,0
sick,#FFC299,0
death,#9966CC,0
mango,#804000,0
sick,#804000,23
lightning,#DC143C,0
mango,#228B22,13
angry,#CC9966,0
peace,#C299FF,50
angry,#004080,29
peach,#666666,0
lightning,#808000,0
sick,#CC9966,0
angry,#008080,0
banana,#99C2FF,0
sandstorm,#0000CD,0
mango,#00CED1,0
safety,#000000,0
safety,#804000,0
death,#FFFF99,0
sad,#ADFF2F,0
peace,#333333,0
safety,#CC9966,0
banana,#DC143C,0
sick,#004D00,100
lightning,#DFFF99,0
lightning,#999999,77
angry,#804000,0
sick,#FFFF99,1
happy,#99C2FF,0
death,#C299FF,0
sandstorm,#000000,0
tree,#400080,0
justice,#66CCCC,50
safety,#DC143C,0
death,#ADFF2F,1
mango,#66CCCC,0
death,#400080,50
sad,#800000,0
justice,#FFFF99,16
sad,#804000,0
happy,#999999,0
lightning,#66CC66,0
tree,#004080,0
safety,#99C2FF,64
peace,#808000,0
lightning,#228B22,0
banana,#666666,0
safety,#FF9999,68
peace,#608000,0
mango,#9966CC,0
sandstorm,#004080,0
banana,#ADFF2F,0
justice,#400080,0
tree,#CCCC66,0
death,#FFC299,0
peach,#FF9999,100
mango,#808000,0
sad,#FF4500,0
mango,#99FF99,0
justice,#004080,76
peach,#ADFF2F,0
peace,#666666,0
sad,#DFFF99,0
peace,#800080,0
safety,#66CCCC,27
banana,#9966CC,0
lightning,#FFFF99,55
peace,#00CED1,0
sandstorm,#CC6666,23
tree,#666666,0
sandstorm,#FF9999,0
death,#0000CD,8
safety,#808000,0
peach,#400080,0
tree,#FF9999,0
lightning,#FF9999,0
banana,#FFD700,100
lightning,#FFFFFF,100
safety,#800080,0
justice,#00CED1,67
sad,#CCCC66,0
sad,#0000CD,100
banana,#FFC299,0
peach,#999999,0
death,#004D00,0
sandstorm,#804000,100
sick,#ADFF2F,100
death,#66CCCC,0
mango,#008080,0
death,#ADFF2F,0
peach,#FFD700,77
justice,#FFC299,0
sad,#800000,0
peace,#000000,0
lightning,#99FFFF,79
sick,#004080,39
banana,#228B22,18
angry,#FF9999,0
banana,#999999,0
mango,#99FFFF,0
peace,#66CC66,84
happy,#99FFFF,80
sandstorm,#608000,70
justice,#FFFFFF,79
mango,#CC6666,16
banana,#804000,54
banana,#ADFF2F,0
peach,#6699CC,0
lightning,#CCCC66,0
happy,#400080,0
safety,#608000,1
angry,#FFFF99,0
safety,#FF9999,0
justice,#FFD700,65
happy,#FF4500,71
justice,#66CC66,0
sad,#800080,0
lightning,#999999,50
happy,#999999,0
lightning,#228B22,0
mango,#DFFF99,0
justice,#6699CC,0
happy,#FFFFFF,0
justice,#CC6666,0
mango,#FFD700,81
sad,#CC6666,0
justice,#004080,1
sandstorm,#99FFFF,0
banana,#666666,0
mango,#800000,0
lightning,#DFFF99,77
peace,#9966CC,0
sandstorm,#228B22,0
banana,#DC143C,0
tree,#804000,87
tree,#608000,100
peach,#CC9966,46
peach,#CC6666,30
sad,#00CED1,82
sandstorm,#999999,0
sick,#608000,100
peace,#66CCCC,86
mango,#008080,0
sad,#66CCCC,58
sick,#CC9966,20
mango,#228B22,12
mango,#CC9966,0
sick,#400080,8
peace,#008080,7
angry,#608000,2
banana,#00CED1,0
justice,#FFC299,4
safety,#66CC66,100
mango,#66CC66,0
lightning,#FFC299,0
justice,#CCCC66,1
banana,#6699CC,0
sandstorm,#228B22,0
death,#FF4500,0
justice,#FF9999,0
safety,#99FF99,49
mango,#008080,0
angry,#99CC66,0
sick,#000000,50
safety,#C299FF,0
peach,#CC9966,0
sick,#CCCC66,34
happy,#ADFF2F,25
peach,#FF4500,0
angry,#66CCCC,0
banana,#FFFF99,61
mango,#FFFFFF,2
mango,#00CED1,5
sad,#99FFFF,5
tree,#6699CC,0
justice,#608000,0
sandstorm,#999999,0
mango,#666666,0
tree,#004080,0
lightning,#6699CC,0
safety,#99CC66,50
sandstorm,#808000,0
peace,#CCCC66,2
happy,#DC143C,0
banana,#9966CC,0
sick,#66CC66,0
tree,#99FFFF,0
peach,#0000CD,0
tree,#ADFF2F,0
mango,#9966CC,0
sandstorm,#333333,0
sad,#6699CC,10
sick,#DC143C,0
death,#400080,0
sandstorm,#9966CC,0
tree,#FFFFFF,0
peach,#004080,0
mango,#6699CC,0
banana,#DFFF99,3
mango,#608000,0
safety,#008080,0
mango,#000000,0
mango,#99FF99,0
peach,#FFD700,0
safety,#0000CD,0
tree,#800080,0
death,#CC6666,0
justice,#ADFF2F,48
peach,#008080,0
sad,#00CED1,22
lightning,#DC143C,2
peach,#CCCC66,0
banana,#608000,0
sad,#C299FF,0
sick,#FF9999,0
banana,#DC143C,0
peace,#999999,0
sandstorm,#FFC299,0
sandstorm,#FF9999,0
happy,#FF4500,0
angry,#000000,81
peach,#99FF99,0
tree,#66CCCC,0
lightning,#004D00,0
banana,#333333,6
lightning,#66CC66,0
sandstorm,#FFFFFF,50
justice,#608000,50
sandstorm,#FFFFFF,64
justice,#0000CD,75
peace,#6699CC,67
happy,#CC9966,17
safety,#CC9966,15
peach,#99C2FF,7
sandstorm,#608000,13
peace,#DFFF99,83
sick,#99FFFF,15
tree,#004D00,100
death,#CC9966,47
tree,#ADFF2F,100
death,#804000,23
mango,#400080,0
happy,#400080,59
sick,#808000,87
banana,#FF9999,26
banana,#99FFFF,22
lightning,#00CED1,29
peach,#66CC66,34
peach,#333333,24
justice,#DC143C,29
peach,#FFFFFF,25
tree,#99C2FF,28
tree,#FF9999,26
safety,#800000,28
peach,#FF9999,27
lightning,#99FFFF,28
tree,#FFD700,29
safety,#800080,20
safety,#C299FF,23
sad,#666666,45
justice,#608000,70
safety,#FFD700,68
justice,#666666,34
death,#999999,79
peach,#804000,33
banana,#FFC299,6
peach,#608000,7
death,#008080,0
sandstorm,#CCCC66,2
peace,#CC9966,3
peace,#800000,3
lightning,#FFC299,6
tree,#00CED1,0
peace,#0000CD,1
banana,#FF4500,0
banana,#C299FF,0
banana,#808000,0
tree,#66CC66,100
justice,#66CCCC,87
mango,#FFFF99,0
sandstorm,#008080,0
tree,#9966CC,0
mango,#FFFFFF,0
sad,#FFC299,0
banana,#333333,0
happy,#FF9999,0
tree,#DC143C,0
lightning,#CC9966,0
safety,#004080,0
banana,#DFFF99,75
death,#400080,12
sick,#666666,73
peace,#608000,61
angry,#0000CD,1
sick,#999999,74
peace,#99C2FF,59
lightning,#0000CD,24
sick,#FFD700,73
peace,#FFFF99,11
sandstorm,#99FFFF,0
happy,#804000,3
lightning,#FFFFFF,0
banana,#DC143C,0
peach,#FFD700,78
peace,#99FF99,85
sad,#FF9999,63
lightning,#228B22,0
sandstorm,#333333,0
banana,#004080,0
mango,#00CED1,0
tree,#000000,0
peace,#999999,0
peach,#400080,0
mango,#0000CD,0
mango,#800080,0
death,#9966CC,0
tree,#333333,1
death,#FFC299,0
sandstorm,#0000CD,0
justice,#FFD700,0
sandstorm,#804000,1
tree,#228B22,100
safety,#CCCC66,2
tree,#DFFF99,93
mango,#608000,4
sad,#C299FF,0
happy,#008080,1
death,#FF9999,3
sad,#808000,7
mango,#CCCC66,0
angry,#99FF99,0
mango,#008080,3
mango,#99C2FF,0
sick,#66CCCC,20
sad,#9966CC,0
peach,#800000,0
sick,#6699CC,4
justice,#66CC66,0
peach,#9966CC,0
lightning,#CC6666,0
sad,#66CC66,0
justice,#000000,64
mango,#DFFF99,68
mango,#FFFF99,93
sandstorm,#99FFFF,0
death,#FFFFFF,0
tree,#004D00,96
peace,#808000,0
angry,#804000,68
peace,#400080,28
peace,#008080,30
death,#666666,77
justice,#99FFFF,11
death,#CC9966,78
mango,#004080,0
peace,#666666,0
happy,#ADFF2F,80
safety,#DFFF99,93
happy,#004080,0
lightning,#000000,0
angry,#0000CD,0
angry,#66CC66,0
sick,#000000,0
peach,#FF4500,0
banana,#000000,0
peach,#99CC66,0
tree,#004080,0
sick,#FFD700,84
safety,#FFD700,100
peach,#228B22,0
tree,#800000,0
lightning,#9966CC,0
sandstorm,#FF4500,0
happy,#DFFF99,76
angry,#333333,94
justice,#FFC299,0
safety,#ADFF2F,85
banana,#008080,0
justice,#FFFFFF,0
peace,#DC143C,0
happy,#FFFF99,92
happy,#999999,0
safety,#804000,0
mango,#00CED1,0
sad,#FFFF99,0
death,#0000CD,0
happy,#400080,0
banana,#000000,0
peace,#800000,0
angry,#808000,0
happy,#FFD700,50
happy,#004D00,0
tree,#400080,0
tree,#800000,0
sad,#008080,0
peach,#FF9999,0
banana,#004080,0
safety,#0000CD,0
peace,#004D00,50
tree,#004080,0
happy,#004080,0
angry,#C299FF,0
safety,#FF9999,0
death,#FFFF99,0
sad,#99CC66,0
banana,#66CC66,0
lightning,#000000,0
sick,#228B22,0
sad,#800000,0
peach,#400080,0
banana,#228B22,0
sick,#004D00,0
justice,#FFFFFF,50
mango,#333333,0
peach,#333333,0
mango,#66CC66,0
safety,#004080,0
banana,#666666,0
mango,#ADFF2F,0
tree,#6699CC,0
sick,#608000,2
banana,#333333,0
safety,#CC9966,0
death,#FFD700,0
safety,#800080,0
sad,#004080,0
peach,#DFFF99,0
sad,#9966CC,0
mango,#804000,7
banana,#6699CC,7
angry,#C299FF,7
lightning,#008080,6
angry,#004D00,10
tree,#666666,8
happy,#000000,8
death,#CCCC66,90
peace,#99C2FF,11
peach,#CC6666,26
mango,#800080,13
sad,#66CCCC,13
peach,#CCCC66,15
banana,#804000,9
peace,#FFD700,16
peach,#66CC66,20
angry,#CCCC66,12
sick,#804000,30
peace,#FFC299,75
peach,#00CED1,71
tree,#9966CC,16
banana,#666666,10
mango,#999999,14
safety,#004080,15
angry,#FFFF99,36
happy,#FF9999,80
safety,#DC143C,23
angry,#CC6666,69
justice,#333333,25
angry,#FFFFFF,16
death,#800080,20
happy,#CCCC66,12
safety,#008080,18
death,#FF4500,78
mango,#800000,21
peach,#0000CD,14
death,#99C2FF,14
justice,#CC6666,18
sad,#800000,15
lightning,#99C2FF,14
safety,#99CC66,80
death,#ADFF2F,28
angry,#66CC66,19
justice,#ADFF2F,20
angry,#ADFF2F,14
peace,#FFFFFF,97
justice,#FFD700,15
sad,#608000,14
banana,#C299FF,11
peach,#FFC299,96
justice,#DC143C,16
happy,#800080,80
angry,#FFD700,7
justice,#66CCCC,13
peace,#6699CC,87
safety,#66CCCC,36
mango,#CCCC66,11
sick,#400080,16
peace,#CCCC66,10
sad,#DC143C,11
tree,#0000CD,14
happy,#CC6666,27
sandstorm,#804000,27
sandstorm,#999999,18
angry,#800000,96
sandstorm,#C299FF,4
sick,#666666,22
sad,#ADFF2F,14
peace,#00CED1,19
sandstorm,#008080,12
lightning,#400080,15
justice,#0000CD,16
banana,#FFFFFF,18
mango,#99FFFF,11
death,#DFFF99,80
death,#DC143C,85
sad,#FF9999,6
happy,#CC9966,27
sad,#DFFF99,21
sick,#DFFF99,79
sad,#666666,74
happy,#ADFF2F,25
peace,#FF9999,80
mango,#6699CC,16
death,#804000,20
peach,#004080,21
sick,#FF4500,88
angry,#99C2FF,11
justice,#CC9966,20
sad,#999999,82
angry,#DFFF99,14
angry,#FF4500,91
peach,#333333,14
peace,#ADFF2F,19
lightning,#FFFFFF,17
sick,#800000,88
peach,#DFFF99,11
banana,#808000,13
angry,#608000,14
justice,#800080,11
banana,#ADFF2F,54
peace,#66CC66,94
tree,#66CCCC,29
sandstorm,#DFFF99,17
lightning,#004080,86
mango,#CC6666,19
sick,#CC9966,79
happy,#FFFF99,14
peace,#008080,74
mango,#004D00,10
safety,#333333,22
sandstorm,#800000,21
tree,#00CED1,24
justice,#004080,28
mango,#FFFF99,83
peace,#800000,12
tree,#CCCC66,77
happy,#608000,86
justice,#608000,88
mango,#333333,16
mango,#000000,18
sandstorm,#ADFF2F,10
mango,#DC143C,17
death,#99CC66,15
peace,#DFFF99,15
death,#66CCCC,12
peace,#99CC66,86
justice,#008080,21
safety,#FF4500,22
angry,#333333,20
justice,#000000,22
sad,#FFD700,13
banana,#333333,13
angry,#804000,14
lightning,#0000CD,88
sandstorm,#FFD700,13
justice,#004D00,86
lightning,#FFFF99,17
happy,#228B22,85
angry,#99FFFF,11
banana,#FFD700,88
angry,#400080,22
peace,#800080,22
justice,#99FFFF,73
peace,#608000,82
happy,#800000,16
tree,#400080,18
death,#800000,20
justice,#FF4500,27
safety,#000000,21
justice,#66CC66,87
sad,#66CC66,16
peace,#400080,16
sick,#800080,18
lightning,#DC143C,17
justice,#800000,19
sandstorm,#99FFFF,19
happy,#0000CD,19
tree,#008080,20
happy,#6699CC,18
peace,#CC6666,68
banana,#FF9999,18
angry,#DC143C,85
justice,#6699CC,22
justice,#400080,19
safety,#608000,19
safety,#ADFF2F,20
angry,#666666,13
safety,#999999,12
lightning,#608000,12
angry,#808000,9
justice,#99FF99,42
banana,#800000,12
happy,#66CC66,18
angry,#000000,11
sad,#000000,88
angry,#FF9999,9
sick,#ADFF2F,90
banana,#9966CC,7
sad,#CCCC66,80
peach,#000000,18
lightning,#800080,21
mango,#FFFFFF,15
mango,#ADFF2F,18
sick,#DC143C,24
banana,#CC6666,14
lightning,#FF9999,16
sandstorm,#99C2FF,19
justice,#228B22,87
sad,#804000,17
lightning,#C299FF,18
lightning,#999999,20
happy,#DFFF99,22
sick,#CC6666,17
tree,#FF9999,16
mango,#008080,14
safety,#FFFF99,86
angry,#66CCCC,11
mango,#FFFF99,100
peace,#FFFF99,100
angry,#CC6666,0
peace,#CC6666,100
happy,#DC143C,100
sick,#FFC299,0
sick,#99FF99,0
tree,#FFD700,0
angry,#FFFF99,0
happy,#004080,25
safety,#FF9999,100
tree,#804000,100
sandstorm,#608000,24
angry,#DFFF99,0
banana,#66CCCC,0
banana,#608000,25
happy,#DFFF99,100
angry,#400080,78
justice,#999999,16
sandstorm,#228B22,27
justice,#FFFFFF,100
mango,#800000,0
sick,#800080,26
sick,#228B22,16
lightning,#66CCCC,86
angry,#00CED1,37
peace,#CC6666,100
lightning,#DC143C,20
lightning,#FF4500,25
death,#DC143C,100
sad,#99FF99,13
death,#ADFF2F,16
tree,#004080,21
safety,#99CC66,16
peace,#FF9999,22
banana,#FFFFFF,0
sick,#808000,98
tree,#FFC299,12
peace,#333333,11
peace,#FFC299,97
sandstorm,#DC143C,8
sick,#C299FF,74
peace,#CC9966,40
happy,#9966CC,76
death,#808000,92
happy,#DFFF99,96
tree,#C299FF,15
death,#400080,79
death,#228B22,68
sandstorm,#608000,73
mango,#FF4500,12
sandstorm,#C299FF,0
sad,#6699CC,79
sick,#FFC299,22
justice,#608000,40
sad,#608000,82
peach,#608000,83
tree,#800080,28
peach,#6699CC,92
banana,#FF9999,5
safety,#FF9999,90
death,#66CC66,25
peace,#FFFF99,100
death,#FF9999,87
mango,#99CC66,4
happy,#99FF99,84
sad,#00CED1,90
death,#99FF99,23
peace,#000000,0
safety,#004D00,21
peace,#0000CD,78
angry,#DFFF99,11
sad,#000000,100
happy,#FFD700,100
sandstorm,#333333,69
sandstorm,#400080,19
peace,#FF4500,86
lightning,#666666,31
sick,#99FFFF,23
peace,#999999,76
death,#DC143C,0
angry,#808000,72
lightning,#CC9966,72
banana,#FFC299,21
justice,#9966CC,14
sick,#008080,90
lightning,#99CC66,84
sick,#000000,98
death,#DFFF99,16
angry,#99FFFF,19
happy,#CC6666,72
sandstorm,#CCCC66,78
peach,#FF4500,32
banana,#0000CD,8
sandstorm,#CC6666,85
sandstorm,#004D00,19
tree,#99CC66,89
justice,#800080,11
tree,#DFFF99,82
lightning,#DFFF99,17
angry,#FF4500,80
sad,#0000CD,80
mango,#804000,16
sad,#99CC66,74
peach,#66CCCC,75
lightning,#800080,19
death,#804000,76
peach,#0000CD,22
safety,#FFFFFF,97
angry,#99CC66,25
death,#00CED1,72
mango,#00CED1,79
death,#004080,85
sad,#ADFF2F,25
peace,#004D00,76
tree,#808000,15
death,#99CC66,21
tree,#999999,23
sad,#333333,5
justice,#C299FF,30
peach,#333333,16
peach,#000000,5
banana,#333333,0
sad,#999999,27
justice,#FFFF99,80
death,#666666,86
sad,#800000,79
peach,#C299FF,78
peach,#9966CC,80
angry,#6699CC,23
banana,#DC143C,15
angry,#800000,92
peach,#99CC66,87
sad,#333333,69
sandstorm,#99FFFF,8
safety,#66CC66,100
sad,#400080,58
death,#400080,77
sad,#FFC299,29
death,#608000,60
death,#66CCCC,36
peach,#99FF99,0
sandstorm,#CC6666,63
sad,#99FFFF,61
sick,#C299FF,100
death,#DFFF99,69
justice,#99FFFF,64
happy,#0000CD,9
happy,#999999,0
peace,#00CED1,62
safety,#00CED1,0
tree,#FFC299,0
death,#800000,91
safety,#C299FF,18
sick,#FFFF99,30
banana,#333333,0
lightning,#99CC66,56
peace,#004D00,75
death,#008080,11
angry,#C299FF,31
justice,#0000CD,46
justice,#004D00,33
safety,#9966CC,35
sandstorm,#333333,10
sandstorm,#FFD700,100
sad,#CCCC66,31
justice,#808000,28
sad,#004D00,52
sick,#999999,72
angry,#804000,22
peach,#6699CC,18
peach,#C299FF,17
sandstorm,#6699CC,17
peach,#FFC299,66
sandstorm,#FF4500,17
tree,#C299FF,16
sad,#FF4500,26
safety,#6699CC,28
peach,#004D00,26
peace,#66CCCC,65
sad,#66CCCC,22
happy,#FF4500,32
mango,#FFFFFF,7
safety,#FF4500,29
banana,#800000,19
safety,#FFFFFF,17
justice,#666666,16
angry,#99C2FF,16
sandstorm,#C299FF,17
safety,#800080,15
lightning,#66CCCC,11
peace,#808000,68
peace,#FF9999,86
sick,#CC9966,16
justice,#FFD700,84
sick,#99C2FF,82
justice,#CC6666,32
sandstorm,#666666,31
sad,#0000CD,78
banana,#666666,25
death,#FFFFFF,64
safety,#999999,5
peace,#FF4500,58
tree,#CCCC66,2
safety,#608000,82
death,#9966CC,77
happy,#6699CC,11
sad,#CC9966,8
sandstorm,#004080,9
justice,#DFFF99,60
angry,#FFD700,4
angry,#333333,6
peach,#FFFF99,57
lightning,#C299FF,62
banana,#800080,14
sick,#0000CD,67
tree,#800000,6
tree,#CC9966,2
tree,#9966CC,0
sandstorm,#004D00,10
safety,#400080,0
lightning,#004080,6
peach,#800080,9
death,#C299FF,72
justice,#FF4500,76
sad,#ADFF2F,9
peach,#99FFFF,18
mango,#804000,15
happy,#FF9999,58
peace,#CC9966,16
peace,#99FFFF,66
peach,#333333,10
peace,#666666,5
tree,#000000,8
sandstorm,#66CC66,8
tree,#608000,78
angry,#666666,8
sick,#800000,4
sad,#66CC66,11
peach,#999999,11
mango,#004080,8
banana,#6699CC,4
sandstorm,#228B22,16
lightning,#333333,13
tree,#004080,15
lightning,#DC143C,7
peace,#99C2FF,7
justice,#FFFFFF,77
justice,#C299FF,18
happy,#99FFFF,54
happy,#FFFFFF,13
banana,#228B22,16
tree,#66CCCC,9
mango,#228B22,8
sandstorm,#800000,68
banana,#99FFFF,8
peach,#CC9966,10
tree,#99FFFF,5
safety,#CC6666,10
angry,#FF4500,65
banana,#FF4500,3
sandstorm,#00CED1,9
angry,#004080,10
justice,#99FF99,16
peace,#CCCC66,9
sick,#DFFF99,59
peace,#CC6666,37
banana,#99CC66,60
mango,#FF9999,11
sick,#6699CC,60
mango,#C299FF,19
mango,#9966CC,13
sick,#99FFFF,12
